,Word,Test Tag,Predicted Tag
0,Those,DET,DET
1,coming,VERB,NOUN
2,from,ADP,ADP
3,other,ADJ,ADJ
4,denominations,NOUN,NOUN
5,will,VERB,VERB
6,welcome,VERB,VERB
7,the,DET,DET
8,opportunity,NOUN,NOUN
9,to,PRT,PRT
10,become,VERB,VERB
11,informed,VERB,VERB
12,.,.,.
13,The,DET,DET
14,preparatory,ADJ,ADJ
15,class,NOUN,NOUN
16,is,VERB,VERB
17,an,DET,DET
18,introductory,ADJ,ADJ
19,face-to-face,ADJ,NOUN
20,group,NOUN,NOUN
21,in,ADP,ADP
22,which,DET,DET
23,new,ADJ,ADJ
24,members,NOUN,NOUN
25,become,VERB,VERB
26,acquainted,VERB,VERB
27,with,ADP,ADP
28,one,NUM,NUM
29,another,DET,NOUN
30,.,.,.
31,It,PRON,PRON
32,provides,VERB,VERB
33,a,DET,DET
34,natural,ADJ,ADJ
35,transition,NOUN,NOUN
36,into,ADP,ADP
37,the,DET,DET
38,life,NOUN,NOUN
39,of,ADP,ADP
40,the,DET,DET
41,local,ADJ,ADJ
42,church,NOUN,NOUN
43,and,CONJ,CONJ
44,its,DET,DET
45,organizations,NOUN,NOUN
46,.,.,.
